;user;ratings;mean;count;std;movies_rated_count
2783;2783;[5, 5, 4, 4, 5, 5, 5, 4, 3, 1, 4, 2, 3, 4, 4, 3, 5, 3, 4, 3, 4, 2, 4, 3, 5, 4, 2, 5, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 4, 3, 4, 4, 5, 5, 3, 3, 3];3.9361702127659575;47;1.0509675732214563;47
2784;2784;[1, 3, 4, 3, 3, 3, 4, 5, 3, 3, 3, 4, 1, 5, 4];3.2666666666666666;15;1.162919151265879;15
2785;2785;[4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 5, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 4, 3, 3, 2, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 2, 4, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 1, 3, 3, 2, 4, 3, 4, 4, 4, 2, 3, 3, 3, 3, 3, 3, 5, 3, 3, 4, 4, 3, 3, 3, 3, 4, 5, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 4, 3, 4, 2, 3, 3, 3];3.147239263803681;163;0.610940671528627;163
2786;2786;[4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 4, 3, 5, 4, 5, 3, 5, 5, 5, 4, 5, 5, 5, 4, 5, 3, 2, 4, 4, 5, 4, 5, 4, 5, 4, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 4, 4, 4, 5, 4, 3, 3, 5, 5, 5, 3, 5, 4, 4, 1, 3, 5, 4, 5, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 2, 3, 4, 4, 5, 4, 2, 4, 2, 5, 3, 3, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 5, 2, 5, 3, 5, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 4, 3];4.094890510948905;137;0.8303366758592221;137
2787;2787;[3, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 4, 4, 5, 3, 4, 3, 5, 4, 5, 3, 5, 3, 4, 4, 2, 3, 4, 4, 5, 4, 4, 4, 3, 4, 3, 5, 2, 5, 3, 2, 4, 4, 5, 5, 3, 4, 4, 5, 5, 5, 5, 2, 5, 5, 3, 5, 3, 2, 5, 5, 5, 3, 4, 4, 4, 4, 2, 3, 4, 5, 5, 4, 2, 4, 4, 2, 3, 4, 3, 4, 3, 2, 1, 5, 4, 1, 4, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 4, 2, 1, 4, 5, 3, 5, 4, 4, 3, 5, 3, 5, 4, 4, 5, 5, 5, 4, 3, 4, 4, 3, 5, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 5];3.971014492753623;138;1.017668933486027;138
2788;2788;[4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 4, 4, 5, 1, 4, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 3, 5, 5, 5, 5, 4, 3, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 3, 5, 5, 4, 2, 5, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 4, 3, 5, 4, 4, 5, 5, 5];4.419354838709677;124;0.6878359394287947;124
2789;2789;[3, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 5, 4, 3, 1, 4, 2, 4, 4, 2, 3, 4, 4, 3, 4, 3, 2, 5, 3, 5, 3, 2, 5, 4, 2, 4, 4, 4, 3, 5, 5, 5, 4, 4, 4, 3, 5, 5, 4, 5, 2, 4, 3, 4, 3, 3, 5, 4, 4, 3, 4, 4, 5, 3, 2, 4, 3, 2, 2, 5, 3, 3, 4, 4, 4, 5, 4, 4, 4, 5, 5, 4, 3, 5, 5, 4, 2, 5, 4, 4, 3, 3];3.776595744680851;94;0.9633527399073892;94
2790;2790;[3, 5, 4, 5, 4, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 5, 4, 4, 5, 4, 5, 3, 5, 5, 3, 4, 5, 5, 4, 3, 4, 4, 5, 4, 3, 5, 3, 5, 5, 5, 3, 4, 4, 4, 4, 5, 4, 5, 4, 3, 3, 5, 4, 4, 5, 3, 5, 5, 5, 4, 3, 5, 3, 5, 5, 4, 3, 4, 5, 2, 4, 5, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 3, 4, 4, 4, 5, 5, 3, 4, 5, 1, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 4, 3];4.245901639344262;122;0.806087124977903;122
2791;2791;[5, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 3, 4, 5, 3];4.125;16;0.6191391873668903;16
2792;2792;[2, 3, 4, 4, 4, 3, 5, 4, 4, 4, 3, 2, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 1, 3, 2, 4, 2, 5, 4, 3, 3, 4, 3, 4, 1, 4, 3, 1, 3, 3, 2, 4, 5, 4, 2, 4, 3, 5, 3, 3, 1, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 2, 3, 3, 5, 4, 4, 3, 1, 2, 3, 4, 1, 5, 4, 2, 3, 3, 1, 3, 3, 4, 5, 1, 2, 3, 3, 2, 4, 2, 4, 4, 2, 4, 2, 5, 4, 3, 4, 1, 5, 3, 3, 3, 3, 4, 1, 4, 4, 3, 3, 3, 2, 3, 5, 2, 1, 3, 4, 3, 3, 2, 2, 1];3.1470588235294117;136;1.0437071518085825;136
